Year,measure,variable,value
1891,areashare,Other WEM,0
1892,areashare,Other WEM,0
1893,areashare,Other WEM,0
1894,areashare,Other WEM,0
1895,areashare,Other WEM,0
1896,areashare,Other WEM,0
1897,areashare,Other WEM,0
1898,areashare,Other WEM,0
1899,areashare,Other WEM,0
1900,areashare,Other WEM,0
1901,areashare,Other WEM,0
1902,areashare,Other WEM,0
1903,areashare,Other WEM,0
1904,areashare,Other WEM,0
1905,areashare,Other WEM,0
1910,areashare,Other WEM,0
1911,areashare,Other WEM,0
1912,areashare,Other WEM,0
1913,areashare,Other WEM,0
1914,areashare,Other WEM,0
1915,areashare,Other WEM,0
1916,areashare,Other WEM,0
1917,areashare,Other WEM,0
1918,areashare,Other WEM,0
1919,areashare,Other WEM,0
1920,areashare,Other WEM,0
1921,areashare,Other WEM,0
1922,areashare,Other WEM,0
1923,areashare,Other WEM,0
1924,areashare,Other WEM,0
1925,areashare,Other WEM,0
1926,areashare,Other WEM,0
1927,areashare,Other WEM,0
1928,areashare,Other WEM,0
1929,areashare,Other WEM,0
1930,areashare,Other WEM,0
1931,areashare,Other WEM,0
1932,areashare,Other WEM,0
1933,areashare,Other WEM,0
1934,areashare,Other WEM,0
1935,areashare,Other WEM,0
1936,areashare,Other WEM,0
1937,areashare,Other WEM,0
1938,areashare,Other WEM,0
1939,areashare,Other WEM,0
1940,areashare,Other WEM,0
1941,areashare,Other WEM,0
1942,areashare,Other WEM,0
1943,areashare,Other WEM,0
2003,areashare,Other WEM,0
2004,areashare,Other WEM,0
2005,areashare,Other WEM,0
2006,areashare,Other WEM,0
2007,areashare,Other WEM,0
2008,areashare,Other WEM,0
2009,areashare,Other WEM,0
2010,areashare,Other WEM,0
2011,areashare,Other WEM,0
2012,areashare,Other WEM,0
2013,areashare,Other WEM,0
2014,areashare,Other WEM,0
2015,areashare,Other WEM,0
2016,areashare,Other WEM,0
2017,areashare,Other WEM,0
2018,areashare,Other WEM,0
1835,areashare,Bulgaria,0
1836,areashare,Bulgaria,0
1837,areashare,Bulgaria,0
1838,areashare,Bulgaria,0
1839,areashare,Bulgaria,0
1840,areashare,Bulgaria,0
1841,areashare,Bulgaria,0
1842,areashare,Bulgaria,0
1843,areashare,Bulgaria,0
1844,areashare,Bulgaria,0
1845,areashare,Bulgaria,0
1846,areashare,Bulgaria,0
1847,areashare,Bulgaria,0
1848,areashare,Bulgaria,0
1849,areashare,Bulgaria,0
1851,areashare,Bulgaria,0
1852,areashare,Bulgaria,0
1853,areashare,Bulgaria,0
1854,areashare,Bulgaria,0
1855,areashare,Bulgaria,0
1856,areashare,Bulgaria,0
1857,areashare,Bulgaria,0
1858,areashare,Bulgaria,0
1859,areashare,Bulgaria,0
1860,areashare,Bulgaria,0
1861,areashare,Bulgaria,0
1862,areashare,Bulgaria,0
1863,areashare,Bulgaria,0
1864,areashare,Bulgaria,0
1865,areashare,Bulgaria,0
1866,areashare,Bulgaria,0
1867,areashare,Bulgaria,0
1868,areashare,Bulgaria,0
1869,areashare,Bulgaria,0
1870,areashare,Bulgaria,0
1871,areashare,Bulgaria,0
1872,areashare,Bulgaria,0
1873,areashare,Bulgaria,0
1874,areashare,Bulgaria,0
1875,areashare,Bulgaria,0
1876,areashare,Bulgaria,0
1877,areashare,Bulgaria,0
1878,areashare,Bulgaria,0
1879,areashare,Bulgaria,0
1880,areashare,Bulgaria,0
1881,areashare,Bulgaria,0
1882,areashare,Bulgaria,0
1883,areashare,Bulgaria,0
1884,areashare,Bulgaria,0
1885,areashare,Bulgaria,0
1886,areashare,Bulgaria,0
1887,areashare,Bulgaria,0
1888,areashare,Bulgaria,0
1889,areashare,Bulgaria,0
1890,areashare,Bulgaria,0
1891,areashare,Bulgaria,0
1892,areashare,Bulgaria,0
1893,areashare,Bulgaria,0
1894,areashare,Bulgaria,0
1895,areashare,Bulgaria,0
1896,areashare,Bulgaria,0
1897,areashare,Bulgaria,0
1898,areashare,Bulgaria,0
1899,areashare,Bulgaria,0
1900,areashare,Bulgaria,1
1901,areashare,Bulgaria,1
1902,areashare,Bulgaria,0
1903,areashare,Bulgaria,0
1904,areashare,Bulgaria,1
1905,areashare,Bulgaria,0
1906,areashare,Bulgaria,1
1907,areashare,Bulgaria,1
1908,areashare,Bulgaria,0
1909,areashare,Bulgaria,0
1910,areashare,Bulgaria,0
1915,areashare,Bulgaria,0
1916,areashare,Bulgaria,0
1917,areashare,Bulgaria,0
1918,areashare,Bulgaria,0
1919,areashare,Bulgaria,0
1920,areashare,Bulgaria,0
1921,areashare,Bulgaria,0
1922,areashare,Bulgaria,0
1923,areashare,Bulgaria,0
1924,areashare,Bulgaria,0
1925,areashare,Bulgaria,0
1926,areashare,Bulgaria,0
1927,areashare,Bulgaria,0
1928,areashare,Bulgaria,0
1929,areashare,Bulgaria,0
1930,areashare,Bulgaria,0
1931,areashare,Bulgaria,0
1932,areashare,Bulgaria,0
1933,areashare,Bulgaria,0
1934,areashare,Bulgaria,0
1935,areashare,Bulgaria,0
1936,areashare,Bulgaria,0
1937,areashare,Bulgaria,0
1938,areashare,Bulgaria,0
1939,areashare,Bulgaria,1
1940,areashare,Bulgaria,1
1941,areashare,Bulgaria,1
1942,areashare,Bulgaria,1
1943,areashare,Bulgaria,1
1944,areashare,Bulgaria,1
1945,areashare,Bulgaria,1
1946,areashare,Bulgaria,1
1947,areashare,Bulgaria,1
1948,areashare,Bulgaria,1
1949,areashare,Bulgaria,1
1950,areashare,Bulgaria,1
1951,areashare,Bulgaria,1
1952,areashare,Bulgaria,1
1953,areashare,Bulgaria,1
1954,areashare,Bulgaria,1
1955,areashare,Bulgaria,1
1956,areashare,Bulgaria,1
1957,areashare,Bulgaria,1
1958,areashare,Bulgaria,1
1959,areashare,Bulgaria,1
1960,areashare,Bulgaria,1
1961,areashare,Bulgaria,1
1962,areashare,Bulgaria,1
1963,areashare,Bulgaria,1
1964,areashare,Bulgaria,1
1965,areashare,Bulgaria,1
1966,areashare,Bulgaria,1
1967,areashare,Bulgaria,1
1968,areashare,Bulgaria,1
1969,areashare,Bulgaria,1
1970,areashare,Bulgaria,1
1971,areashare,Bulgaria,1
1972,areashare,Bulgaria,1
1973,areashare,Bulgaria,1
1974,areashare,Bulgaria,1
1975,areashare,Bulgaria,1
1976,areashare,Bulgaria,1
1977,areashare,Bulgaria,1
1978,areashare,Bulgaria,1
1979,areashare,Bulgaria,1
1980,areashare,Bulgaria,1
1981,areashare,Bulgaria,1
1982,areashare,Bulgaria,1
1983,areashare,Bulgaria,1
1984,areashare,Bulgaria,1
1985,areashare,Bulgaria,1
1986,areashare,Bulgaria,1
1987,areashare,Bulgaria,1
1988,areashare,Bulgaria,1
1989,areashare,Bulgaria,1
1990,areashare,Bulgaria,1
1991,areashare,Bulgaria,1
1992,areashare,Bulgaria,1
1993,areashare,Bulgaria,1
1994,areashare,Bulgaria,1
1995,areashare,Bulgaria,1
1996,areashare,Bulgaria,1
1997,areashare,Bulgaria,1
1998,areashare,Bulgaria,1
1999,areashare,Bulgaria,1
2000,areashare,Bulgaria,1
2001,areashare,Bulgaria,1
2002,areashare,Bulgaria,1
2003,areashare,Bulgaria,1
1879,areashare,Croatia,0
1880,areashare,Croatia,0
1881,areashare,Croatia,0
1882,areashare,Croatia,0
1883,areashare,Croatia,0
1884,areashare,Croatia,0
1885,areashare,Croatia,0
1886,areashare,Croatia,0
1887,areashare,Croatia,0
1888,areashare,Croatia,0
1889,areashare,Croatia,0
1890,areashare,Croatia,0
1891,areashare,Croatia,0
1892,areashare,Croatia,0
1893,areashare,Croatia,0
1894,areashare,Croatia,0
1895,areashare,Croatia,0
1896,areashare,Croatia,0
1897,areashare,Croatia,0
1898,areashare,Croatia,0
1899,areashare,Croatia,0
1900,areashare,Croatia,0
1901,areashare,Croatia,0
1902,areashare,Croatia,0
1903,areashare,Croatia,0
1904,areashare,Croatia,0
1905,areashare,Croatia,0
1906,areashare,Croatia,0
1907,areashare,Croatia,0
1908,areashare,Croatia,0
1909,areashare,Croatia,0
1910,areashare,Croatia,0
1911,areashare,Croatia,0
1912,areashare,Croatia,0
1913,areashare,Croatia,0
1914,areashare,Croatia,0
1915,areashare,Croatia,0
1920,areashare,Croatia,0
1921,areashare,Croatia,0
1922,areashare,Croatia,0
1923,areashare,Croatia,0
1924,areashare,Croatia,0
1925,areashare,Croatia,0
1926,areashare,Croatia,0
1927,areashare,Croatia,0
1928,areashare,Croatia,0
1929,areashare,Croatia,0
1930,areashare,Croatia,0
1931,areashare,Croatia,0
1932,areashare,Croatia,0
1933,areashare,Croatia,0
1934,areashare,Croatia,0
1935,areashare,Croatia,0
1936,areashare,Croatia,0
1937,areashare,Croatia,0
1938,areashare,Croatia,0
1939,areashare,Croatia,0
1940,areashare,Croatia,0
1941,areashare,Croatia,0
1942,areashare,Croatia,0
1943,areashare,Croatia,0
1944,areashare,Croatia,0
1945,areashare,Croatia,0
1946,areashare,Croatia,0
1947,areashare,Croatia,0
1948,areashare,Croatia,0
1949,areashare,Croatia,0
1950,areashare,Croatia,0
1951,areashare,Croatia,0
1952,areashare,Croatia,0
1953,areashare,Croatia,0
1954,areashare,Croatia,0
1955,areashare,Croatia,0
1956,areashare,Croatia,0
1957,areashare,Croatia,0
1958,areashare,Croatia,0
1959,areashare,Croatia,0
1960,areashare,Croatia,0
1961,areashare,Croatia,0
1962,areashare,Croatia,0
1963,areashare,Croatia,0
1964,areashare,Croatia,0
1965,areashare,Croatia,0
1966,areashare,Croatia,0
1967,areashare,Croatia,0
1968,areashare,Croatia,0
1969,areashare,Croatia,0
1970,areashare,Croatia,0
1971,areashare,Croatia,0
1972,areashare,Croatia,0
1973,areashare,Croatia,0
1974,areashare,Croatia,0
1975,areashare,Croatia,0
1976,areashare,Croatia,0
1977,areashare,Croatia,0
1978,areashare,Croatia,0
1979,areashare,Croatia,0
1980,areashare,Croatia,0
1981,areashare,Croatia,0
1982,areashare,Croatia,0
1983,areashare,Croatia,0
1984,areashare,Croatia,0
1985,areashare,Croatia,0
1986,areashare,Croatia,0
1987,areashare,Croatia,0
1988,areashare,Croatia,0
1989,areashare,Croatia,0
1990,areashare,Croatia,0
1991,areashare,Croatia,0
1992,areashare,Croatia,0
1993,areashare,Croatia,0
1994,areashare,Croatia,0
1995,areashare,Croatia,0
1996,areashare,Croatia,0
1997,areashare,Croatia,0
1998,areashare,Croatia,0
1999,areashare,Croatia,0
2000,areashare,Croatia,0
2001,areashare,Croatia,0
2002,areashare,Croatia,0
2003,areashare,Croatia,0
2004,areashare,Croatia,0
2005,areashare,Croatia,0
2006,areashare,Croatia,0
2007,areashare,Croatia,0
2008,areashare,Croatia,0
2009,areashare,Croatia,0
2010,areashare,Croatia,0
2011,areashare,Croatia,0
2012,areashare,Croatia,0
2013,areashare,Croatia,0
2014,areashare,Croatia,0
2015,areashare,Croatia,0
2016,areashare,Croatia,0
2017,areashare,Croatia,0
2018,areashare,Croatia,0
1835,areashare,Georgia,0
1836,areashare,Georgia,0
1837,areashare,Georgia,0
1838,areashare,Georgia,0
1839,areashare,Georgia,0
1840,areashare,Georgia,0
1841,areashare,Georgia,0
1842,areashare,Georgia,0
1843,areashare,Georgia,0
1844,areashare,Georgia,0
1845,areashare,Georgia,0
1846,areashare,Georgia,0
1847,areashare,Georgia,0
1848,areashare,Georgia,0
1849,areashare,Georgia,0
1850,areashare,Georgia,0
1851,areashare,Georgia,0
1853,areashare,Georgia,0
1854,areashare,Georgia,0
1855,areashare,Georgia,0
1856,areashare,Georgia,0
1857,areashare,Georgia,0
1858,areashare,Georgia,0
1859,areashare,Georgia,0
1860,areashare,Georgia,0
1861,areashare,Georgia,0
1862,areashare,Georgia,0
1863,areashare,Georgia,0
1864,areashare,Georgia,0
1865,areashare,Georgia,0
1866,areashare,Georgia,0
1867,areashare,Georgia,0
1868,areashare,Georgia,0
1869,areashare,Georgia,0
1870,areashare,Georgia,0
1871,areashare,Georgia,0
1872,areashare,Georgia,0
1873,areashare,Georgia,0
1874,areashare,Georgia,0
1875,areashare,Georgia,0
1876,areashare,Georgia,0
1877,areashare,Georgia,0
1878,areashare,Georgia,0
1879,areashare,Georgia,0
1939,areashare,Georgia,0
1940,areashare,Georgia,0
1941,areashare,Georgia,0
1942,areashare,Georgia,0
1943,areashare,Georgia,0
1944,areashare,Georgia,0
1945,areashare,Georgia,0
1946,areashare,Georgia,0
1947,areashare,Georgia,0
1948,areashare,Georgia,0
1949,areashare,Georgia,0
1950,areashare,Georgia,0
1951,areashare,Georgia,0
1952,areashare,Georgia,0
1953,areashare,Georgia,0
1954,areashare,Georgia,0
1955,areashare,Georgia,0
1956,areashare,Georgia,0
1957,areashare,Georgia,0
1958,areashare,Georgia,0
1959,areashare,Georgia,0
1960,areashare,Georgia,0
1961,areashare,Georgia,0
1962,areashare,Georgia,0
1963,areashare,Georgia,0
1964,areashare,Georgia,0
1965,areashare,Georgia,0
1966,areashare,Georgia,0
1967,areashare,Georgia,0
1968,areashare,Georgia,0
1969,areashare,Georgia,0
1970,areashare,Georgia,0
1971,areashare,Georgia,0
1972,areashare,Georgia,0
1973,areashare,Georgia,0
1974,areashare,Georgia,0
1975,areashare,Georgia,0
1976,areashare,Georgia,0
1977,areashare,Georgia,0
1978,areashare,Georgia,0
1979,areashare,Georgia,0
1980,areashare,Georgia,1
1981,areashare,Georgia,0
1982,areashare,Georgia,0
1983,areashare,Georgia,0
1984,areashare,Georgia,0
1985,areashare,Georgia,0
1986,areashare,Georgia,0
1987,areashare,Georgia,0
1988,areashare,Georgia,0
1989,areashare,Georgia,0
1990,areashare,Georgia,0
1991,areashare,Georgia,0
1992,areashare,Georgia,1
1993,areashare,Georgia,1
1994,areashare,Georgia,1
1995,areashare,Georgia,1
1996,areashare,Georgia,1
1997,areashare,Georgia,1
1998,areashare,Georgia,0
1999,areashare,Georgia,0
2000,areashare,Georgia,0
2001,areashare,Georgia,0
2002,areashare,Georgia,0
2003,areashare,Georgia,0
2004,areashare,Georgia,0
2005,areashare,Georgia,0
2006,areashare,Georgia,0
2007,areashare,Georgia,0
2008,areashare,Georgia,0
2009,areashare,Georgia,0
2010,areashare,Georgia,0
2011,areashare,Georgia,0
2012,areashare,Georgia,0
2013,areashare,Georgia,0
2014,areashare,Georgia,0
2015,areashare,Georgia,0
2016,areashare,Georgia,0
2017,areashare,Georgia,0
2018,areashare,Georgia,0
1835,areashare,Hungary,0
1836,areashare,Hungary,0
1837,areashare,Hungary,0
1838,areashare,Hungary,0
1839,areashare,Hungary,0
1840,areashare,Hungary,0
1841,areashare,Hungary,0
1842,areashare,Hungary,0
1843,areashare,Hungary,0
1844,areashare,Hungary,0
1845,areashare,Hungary,0
1846,areashare,Hungary,0
1847,areashare,Hungary,0
1848,areashare,Hungary,0
1849,areashare,Hungary,0
1850,areashare,Hungary,0
1851,areashare,Hungary,0
1852,areashare,Hungary,0
1854,areashare,Hungary,0
1855,areashare,Hungary,0
1856,areashare,Hungary,0
1857,areashare,Hungary,0
1858,areashare,Hungary,0
1859,areashare,Hungary,0
1860,areashare,Hungary,0
1861,areashare,Hungary,0
1862,areashare,Hungary,0
1863,areashare,Hungary,0
1864,areashare,Hungary,0
1865,areashare,Hungary,0
1866,areashare,Hungary,0
1867,areashare,Hungary,0
1868,areashare,Hungary,0
1869,areashare,Hungary,0
1870,areashare,Hungary,0
1871,areashare,Hungary,0
1872,areashare,Hungary,0
1873,areashare,Hungary,0
1874,areashare,Hungary,0
1875,areashare,Hungary,0
1876,areashare,Hungary,0
1877,areashare,Hungary,0
1878,areashare,Hungary,0
1879,areashare,Hungary,0
1880,areashare,Hungary,0
1881,areashare,Hungary,0
1882,areashare,Hungary,0
1883,areashare,Hungary,0
1884,areashare,Hungary,0
1885,areashare,Hungary,0
1886,areashare,Hungary,0
1887,areashare,Hungary,0
1888,areashare,Hungary,0
1889,areashare,Hungary,0
1890,areashare,Hungary,0
1891,areashare,Hungary,0
1892,areashare,Hungary,0
1893,areashare,Hungary,0
1894,areashare,Hungary,0
1895,areashare,Hungary,0
1896,areashare,Hungary,0
1897,areashare,Hungary,0
1898,areashare,Hungary,0
1899,areashare,Hungary,0
1900,areashare,Hungary,2
1901,areashare,Hungary,2
1902,areashare,Hungary,2
1903,areashare,Hungary,2
1904,areashare,Hungary,1
1905,areashare,Hungary,1
1906,areashare,Hungary,2
1907,areashare,Hungary,2
1908,areashare,Hungary,2
1909,areashare,Hungary,2
1910,areashare,Hungary,2
1911,areashare,Hungary,2
1912,areashare,Hungary,2
1913,areashare,Hungary,2
1914,areashare,Hungary,2
1915,areashare,Hungary,2
1916,areashare,Hungary,2
1917,areashare,Hungary,2
1918,areashare,Hungary,2
1919,areashare,Hungary,1
1920,areashare,Hungary,1
1921,areashare,Hungary,2
1922,areashare,Hungary,2
1923,areashare,Hungary,2
1924,areashare,Hungary,2
1925,areashare,Hungary,2
1930,areashare,Hungary,2
1931,areashare,Hungary,2
1932,areashare,Hungary,1
1933,areashare,Hungary,1
1934,areashare,Hungary,1
1935,areashare,Hungary,1
1936,areashare,Hungary,1
1937,areashare,Hungary,1
1938,areashare,Hungary,1
1939,areashare,Hungary,1
1999,areashare,Hungary,1
2000,areashare,Hungary,1
2001,areashare,Hungary,1
2002,areashare,Hungary,1
2003,areashare,Hungary,1
2004,areashare,Hungary,1
2005,areashare,Hungary,1
2006,areashare,Hungary,1
2007,areashare,Hungary,1
2008,areashare,Hungary,1
2009,areashare,Hungary,1
2010,areashare,Hungary,1
2011,areashare,Hungary,1
2012,areashare,Hungary,1
2013,areashare,Hungary,1
2014,areashare,Hungary,1
2015,areashare,Hungary,1
2016,areashare,Hungary,0
2017,areashare,Hungary,0
2018,areashare,Hungary,0
1835,areashare,Moldova,0
1836,areashare,Moldova,0
1837,areashare,Moldova,0
1838,areashare,Moldova,0
1839,areashare,Moldova,0
1840,areashare,Moldova,0
1841,areashare,Moldova,0
1842,areashare,Moldova,0
1843,areashare,Moldova,0
1844,areashare,Moldova,0
1845,areashare,Moldova,0
1846,areashare,Moldova,0
1847,areashare,Moldova,0
1848,areashare,Moldova,0
1849,areashare,Moldova,0
1850,areashare,Moldova,0
1851,areashare,Moldova,0
1852,areashare,Moldova,0
1853,areashare,Moldova,0
1855,areashare,Moldova,0
1856,areashare,Moldova,0
1857,areashare,Moldova,0
1858,areashare,Moldova,0
1859,areashare,Moldova,0
1860,areashare,Moldova,0
1861,areashare,Moldova,0
1862,areashare,Moldova,0
1863,areashare,Moldova,0
1864,areashare,Moldova,0
1865,areashare,Moldova,0
1866,areashare,Moldova,0
1867,areashare,Moldova,0
1868,areashare,Moldova,0
1869,areashare,Moldova,0
1870,areashare,Moldova,0
1871,areashare,Moldova,0
1872,areashare,Moldova,0
1873,areashare,Moldova,0
1874,areashare,Moldova,0
1875,areashare,Moldova,0
1876,areashare,Moldova,0
1877,areashare,Moldova,0
1878,areashare,Moldova,0
1879,areashare,Moldova,0
1880,areashare,Moldova,0
1881,areashare,Moldova,0
1882,areashare,Moldova,0
1883,areashare,Moldova,0
1884,areashare,Moldova,0
1885,areashare,Moldova,0
1886,areashare,Moldova,0
1887,areashare,Moldova,0
1888,areashare,Moldova,0
1889,areashare,Moldova,0
1890,areashare,Moldova,0
1891,areashare,Moldova,0
1892,areashare,Moldova,0
1893,areashare,Moldova,0
1894,areashare,Moldova,0
1895,areashare,Moldova,0
1896,areashare,Moldova,0
1897,areashare,Moldova,0
1898,areashare,Moldova,0
1899,areashare,Moldova,0
1900,areashare,Moldova,0
1901,areashare,Moldova,0
1902,areashare,Moldova,0
1903,areashare,Moldova,0
1904,areashare,Moldova,0
1905,areashare,Moldova,0
1906,areashare,Moldova,0
1907,areashare,Moldova,0
1908,areashare,Moldova,0
1909,areashare,Moldova,0
1910,areashare,Moldova,0
1911,areashare,Moldova,0
1912,areashare,Moldova,0
1913,areashare,Moldova,0
1914,areashare,Moldova,0
1915,areashare,Moldova,0
1916,areashare,Moldova,0
1917,areashare,Moldova,0
1918,areashare,Moldova,0
1919,areashare,Moldova,0
1920,areashare,Moldova,0
1921,areashare,Moldova,0
1922,areashare,Moldova,0
1923,areashare,Moldova,0
1924,areashare,Moldova,0
1925,areashare,Moldova,0
1926,areashare,Moldova,0
1927,areashare,Moldova,0
1928,areashare,Moldova,0
1929,areashare,Moldova,0
1930,areashare,Moldova,0
1935,areashare,Moldova,0
1936,areashare,Moldova,0
1937,areashare,Moldova,0
1938,areashare,Moldova,0
1939,areashare,Moldova,0
1940,areashare,Moldova,0
1941,areashare,Moldova,0
1942,areashare,Moldova,0
1943,areashare,Moldova,0
1944,areashare,Moldova,0
1945,areashare,Moldova,0
1946,areashare,Moldova,0
1947,areashare,Moldova,0
1948,areashare,Moldova,0
1949,areashare,Moldova,0
1950,areashare,Moldova,0
1951,areashare,Moldova,0
1952,areashare,Moldova,0
1953,areashare,Moldova,0
1954,areashare,Moldova,0
1955,areashare,Moldova,0
1956,areashare,Moldova,0
1957,areashare,Moldova,0
1958,areashare,Moldova,0
1959,areashare,Moldova,0
1960,areashare,Moldova,0
1961,areashare,Moldova,0
1962,areashare,Moldova,0
1963,areashare,Moldova,0
1964,areashare,Moldova,0
1965,areashare,Moldova,0
1966,areashare,Moldova,0
1967,areashare,Moldova,0
1968,areashare,Moldova,0
1969,areashare,Moldova,0
1970,areashare,Moldova,0
1971,areashare,Moldova,0
1972,areashare,Moldova,0
1973,areashare,Moldova,0
1974,areashare,Moldova,0
1975,areashare,Moldova,0
1976,areashare,Moldova,0
1977,areashare,Moldova,0
1978,areashare,Moldova,0
1979,areashare,Moldova,0
1980,areashare,Moldova,0
1981,areashare,Moldova,0
1982,areashare,Moldova,0
1983,areashare,Moldova,0
1984,areashare,Moldova,0
1985,areashare,Moldova,0
1986,areashare,Moldova,0
1987,areashare,Moldova,0
1988,areashare,Moldova,0
1989,areashare,Moldova,0
1990,areashare,Moldova,0
1991,areashare,Moldova,0
1992,areashare,Moldova,2
1993,areashare,Moldova,2
1994,areashare,Moldova,2
1995,areashare,Moldova,2
1996,areashare,Moldova,2
1997,areashare,Moldova,2
1998,areashare,Moldova,2
1999,areashare,Moldova,2
1875,areashare,Romania,0
1876,areashare,Romania,0
1877,areashare,Romania,0
1878,areashare,Romania,0
1879,areashare,Romania,0
1880,areashare,Romania,0
1881,areashare,Romania,0
1882,areashare,Romania,0
1883,areashare,Romania,0
1884,areashare,Romania,0
1885,areashare,Romania,0
1886,areashare,Romania,0
1887,areashare,Romania,0
1888,areashare,Romania,0
1889,areashare,Romania,0
1890,areashare,Romania,0
1891,areashare,Romania,0
1892,areashare,Romania,0
1893,areashare,Romania,0
1894,areashare,Romania,0
1895,areashare,Romania,0
1896,areashare,Romania,0
1897,areashare,Romania,0
1898,areashare,Romania,0
1899,areashare,Romania,0
1900,areashare,Romania,1
1901,areashare,Romania,1
1902,areashare,Romania,1
1903,areashare,Romania,1
1904,areashare,Romania,1
1905,areashare,Romania,1
1906,areashare,Romania,1
1907,areashare,Romania,1
1908,areashare,Romania,1
1909,areashare,Romania,1
1910,areashare,Romania,1
1911,areashare,Romania,1
1912,areashare,Romania,1
1913,areashare,Romania,2
1914,areashare,Romania,1
1915,areashare,Romania,1
1916,areashare,Romania,1
1917,areashare,Romania,1
1918,areashare,Romania,1
1919,areashare,Romania,1
1920,areashare,Romania,1
1921,areashare,Romania,1
1922,areashare,Romania,1
1923,areashare,Romania,2
1924,areashare,Romania,2
1925,areashare,Romania,2
1926,areashare,Romania,2
1927,areashare,Romania,2
1928,areashare,Romania,2
1929,areashare,Romania,2
1930,areashare,Romania,2
1931,areashare,Romania,2
1932,areashare,Romania,2
1933,areashare,Romania,2
1934,areashare,Romania,2
1935,areashare,Romania,2
1940,areashare,Romania,2
1941,areashare,Romania,2
1942,areashare,Romania,2
1943,areashare,Romania,2
1944,areashare,Romania,2
1945,areashare,Romania,1
1946,areashare,Romania,1
1947,areashare,Romania,2
1948,areashare,Romania,1
1949,areashare,Romania,1
1950,areashare,Romania,1
1951,areashare,Romania,1
1952,areashare,Romania,1
1953,areashare,Romania,1
1954,areashare,Romania,1
1955,areashare,Romania,1
1956,areashare,Romania,1
1957,areashare,Romania,2
1958,areashare,Romania,2
1959,areashare,Romania,2
1960,areashare,Romania,2
1961,areashare,Romania,2
1962,areashare,Romania,2
1963,areashare,Romania,2
1964,areashare,Romania,2
1965,areashare,Romania,2
1966,areashare,Romania,2
1967,areashare,Romania,2
1968,areashare,Romania,2
1969,areashare,Romania,2
1970,areashare,Romania,2
1971,areashare,Romania,3
1972,areashare,Romania,3
1973,areashare,Romania,3
1974,areashare,Romania,3
1975,areashare,Romania,2
1976,areashare,Romania,2
1977,areashare,Romania,2
1978,areashare,Romania,2
1979,areashare,Romania,2
1980,areashare,Romania,2
1981,areashare,Romania,2
1982,areashare,Romania,2
1983,areashare,Romania,2
1984,areashare,Romania,2
1985,areashare,Romania,2
1986,areashare,Romania,3
1987,areashare,Romania,3
1988,areashare,Romania,3
1989,areashare,Romania,2
1990,areashare,Romania,3
1991,areashare,Romania,3
1992,areashare,Romania,3
1993,areashare,Romania,3
1994,areashare,Romania,3
1995,areashare,Romania,3
1996,areashare,Romania,3
1997,areashare,Romania,3
1998,areashare,Romania,3
1999,areashare,Romania,3
2000,areashare,Romania,3
2001,areashare,Romania,3
2002,areashare,Romania,3
2003,areashare,Romania,3
2004,areashare,Romania,2
2005,areashare,Romania,2
2006,areashare,Romania,2
2007,areashare,Romania,2
2008,areashare,Romania,2
2009,areashare,Romania,2
2010,areashare,Romania,2
2011,areashare,Romania,2
2012,areashare,Romania,2
2013,areashare,Romania,2
2014,areashare,Romania,2
2015,areashare,Romania,2
2016,areashare,Romania,2
2017,areashare,Romania,2
2018,areashare,Romania,2
1835,areashare,Russia,0
1836,areashare,Russia,0
1837,areashare,Russia,0
1838,areashare,Russia,0
1839,areashare,Russia,0
1840,areashare,Russia,0
1841,areashare,Russia,0
1842,areashare,Russia,0
1843,areashare,Russia,0
1844,areashare,Russia,0
1845,areashare,Russia,0
1846,areashare,Russia,0
1847,areashare,Russia,0
1848,areashare,Russia,0
1849,areashare,Russia,0
1850,areashare,Russia,0
1851,areashare,Russia,0
1852,areashare,Russia,0
1853,areashare,Russia,0
1854,areashare,Russia,0
1855,areashare,Russia,0
1857,areashare,Russia,0
1858,areashare,Russia,0
1859,areashare,Russia,0
1860,areashare,Russia,0
1861,areashare,Russia,0
1862,areashare,Russia,0
1863,areashare,Russia,0
1864,areashare,Russia,0
1865,areashare,Russia,0
1866,areashare,Russia,0
1867,areashare,Russia,0
1868,areashare,Russia,0
1869,areashare,Russia,0
1870,areashare,Russia,0
1871,areashare,Russia,0
1872,areashare,Russia,0
1873,areashare,Russia,0
1874,areashare,Russia,0
1875,areashare,Russia,0
1935,areashare,Russia,2
1936,areashare,Russia,2
1937,areashare,Russia,2
1938,areashare,Russia,2
1939,areashare,Russia,2
1940,areashare,Russia,2
1945,areashare,Russia,3
1946,areashare,Russia,3
1947,areashare,Russia,3
1948,areashare,Russia,3
1949,areashare,Russia,3
1950,areashare,Russia,3
1951,areashare,Russia,3
1952,areashare,Russia,3
1953,areashare,Russia,3
1954,areashare,Russia,3
1955,areashare,Russia,4
1956,areashare,Russia,4
1957,areashare,Russia,4
1958,areashare,Russia,4
1959,areashare,Russia,4
1960,areashare,Russia,4
1961,areashare,Russia,4
1962,areashare,Russia,5
1963,areashare,Russia,5
1964,areashare,Russia,6
1965,areashare,Russia,6
1966,areashare,Russia,6
1967,areashare,Russia,6
1968,areashare,Russia,7
1969,areashare,Russia,7
1970,areashare,Russia,8
1971,areashare,Russia,8
1972,areashare,Russia,7
1973,areashare,Russia,7
1974,areashare,Russia,7
1975,areashare,Russia,8
